measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,22,All ages,558,Mental disorders,1,Number,2015,158805.5799897119,209184.6833754552,116167.91336986209
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,22,All ages,558,Mental disorders,2,Percent,2015,0.04206227515720717,0.05147899403697794,0.03299012519926184
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,22,All ages,558,Mental disorders,3,Rate,2015,1617.1248524003222,2130.1376831334037,1182.9434442672728
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,22,All ages,567,Depressive disorders,1,Number,2015,58745.68280642224,82309.32577244693,41002.47047387055
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,22,All ages,567,Depressive disorders,2,Percent,2015,0.01555260074573209,0.020425120901342405,0.011509540224772083
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,22,All ages,567,Depressive disorders,3,Rate,2015,598.210111027876,838.1598196962688,417.5301271995739
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,22,All ages,571,Anxiety disorders,1,Number,2015,36029.42970503497,50435.84276085521,24097.353689203894
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,22,All ages,571,Anxiety disorders,2,Percent,2015,0.009541423400402965,0.012912309936424076,0.006843970126025632
2,DALYs (Disability-Adjusted Life Years),48,Hungary,3,Both,22,All ages,571,Anxiety disorders,3,Rate,2015,366.88941407220835,513.5906105164424,245.38451060987128
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,558,Mental disorders,1,Number,2017,111243.2066572632,146813.44293791667,81292.47826020994
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,558,Mental disorders,2,Percent,2017,0.0668056008151018,0.08006235228563827,0.05334042032712438
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,558,Mental disorders,3,Rate,2017,1937.3980983687363,2556.8849883950666,1415.7798711992568
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,567,Depressive disorders,1,Number,2017,40014.34649369472,55941.56408352756,28184.022325921087
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,567,Depressive disorders,2,Percent,2017,0.024021923800423825,0.031101835401078186,0.01819860727510843
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,567,Depressive disorders,3,Rate,2017,696.8849706319596,974.271446607231,490.84949004440017
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,571,Anxiety disorders,1,Number,2017,27737.533711824646,39133.70263908349,18500.79986751439
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,571,Anxiety disorders,2,Percent,2017,0.016655415933625253,0.021945127534029274,0.01215031651427838
2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,571,Anxiety disorders,3,Rate,2017,483.073498881552,681.5477848339932,322.2076705506641
2,DALYs (Disability-Adjusted Life Years),155,Turkey,3,Both,22,All ages,567,Depressive disorders,1,Number,2015,623677.5919708743,855126.3658472479,433435.2699599726
2,DALYs (Disability-Adjusted Life Years),155,Turkey,3,Both,22,All ages,567,Depressive disorders,2,Percent,2015,0.03231527242657961,0.04152589681177393,0.024295609318763584
2,DALYs (Disability-Adjusted Life Years),155,Turkey,3,Both,22,All ages,567,Depressive disorders,3,Rate,2015,786.0809043357345,1077.798073299907,546.3001931886778
2,DALYs (Disability-Adjusted Life Years),155,Turkey,3,Both,22,All ages,571,Anxiety disorders,1,Number,2015,365445.61252721533,519971.385900473,242934.9519175407
2,DALYs (Disability-Adjusted Life Years),155,Turkey,3,Both,22,All ages,571,Anxiety disorders,2,Percent,2015,0.018941760927906927,0.025329923335829556,0.013668128417113496
2,DALYs (Disability-Adjusted Life Years),155,Turkey,3,Both,22,All ages,571,Anxiety disorders,3,Rate,2015,460.6062832450375,655.3699900708258,306.1943048083992
2,DALYs (Disability-Adjusted Life Years),59,Latvia,3,Both,22,All ages,558,Mental disorders,1,Number,2015,37121.88646648815,48977.239329598655,27304.23544612281
2,DALYs (Disability-Adjusted Life Years),59,Latvia,3,Both,22,All ages,558,Mental disorders,2,Percent,2015,0.04587329349594221,0.056196069564925476,0.036077113895423424
2,DALYs (Disability-Adjusted Life Years),59,Latvia,3,Both,22,All ages,558,Mental disorders,3,Rate,2015,1867.8480100696815,2464.3693445666613,1373.8569533785696
2,DALYs (Disability-Adjusted Life Years),59,Latvia,3,Both,22,All ages,567,Depressive disorders,1,Number,2015,16703.72887867404,22949.4019330586,11782.486624750974
2,DALYs (Disability-Adjusted Life Years),59,Latvia,3,Both,22,All ages,567,Depressive disorders,2,Percent,2015,0.020638165352744844,0.027030025674415124,0.015279104410240555
2,DALYs (Disability-Adjusted Life Years),59,Latvia,3,Both,22,All ages,567,Depressive disorders,3,Rate,2015,840.4752483401043,1154.7364321490013,592.8549513662624
2,DALYs (Disability-Adjusted Life Years),71,Australia,3,Both,22,All ages,558,Mental disorders,1,Number,2015,580275.8878304415,761766.0415677291,425338.1140484783
2,DALYs (Disability-Adjusted Life Years),71,Australia,3,Both,22,All ages,558,Mental disorders,2,Percent,2015,0.09931634114366517,0.11801897161509142,0.08064230248722083
2,DALYs (Disability-Adjusted Life Years),71,Australia,3,Both,22,All ages,558,Mental disorders,3,Rate,2015,2492.6567450717057,3272.273243645813,1827.0997316173477
2,DALYs (Disability-Adjusted Life Years),71,Australia,3,Both,22,All ages,567,Depressive disorders,1,Number,2015,207874.69928015326,291061.0131997927,142961.03978777752
